Tên cơ sở,Địa chỉ,Số phòng,Điện thoại,Cơ quan nhà nước quản lý,Email,Website,Giá,Fax
Đầu Rồng Resort,"Thôn Đầu Rồng, xã Cái Chiên, huyện Hải Hà, Xã Cái Chiên, Huyện Hải Hà, Quảng Ninh",52,0203 '84-33622688,Có,,,,
Khách sạn nghỉ dưỡng Pax Ana Dốc Lết,"Tổ Dân Phố 9 Đông Cát, Phường Ninh Hải, Thị xã Ninh Hòa, Khánh Hòa",81,0258 3849 999,Có,reservation@paxanadoclet.com,https://paxanadoclet.com,,
Khách sạn nghỉ dưỡng Flamingo Đại Lải,"Thôn Đại Quang, Xã Ngọc Thanh, Thị xã Phúc Yên, Vĩnh Phúc",,0211 6266 666,Có,sale@flamingogroup.vn,http://flamingoresorts.vn/,,
Khách sạn nghỉ dưỡng Hội An Central Boutique,"91 Hùng Vương, Phường Cẩm Phô, Thành phố Hội An, Quảng Nam",108,0235 3959 999,Có,info@hoiancentral.com,www.hoiancentral.com,,
Khách sạn Eden Star Sài Gòn,"38 Bùi Thị Xuân, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",129,028 6298 8388/ 6257 1818,Có,sales@edensaigonhotel.com,www.edenstarsaigonhotel.com,1.670.000 - 5.580.000,
Khách sạn Phú Long Tam Kỳ,"495 Phan Châu Trinh, Phường Hòa Hương, Thành phố Tam Kỳ, Quảng Nam",80,"0235 3384 777, 091 34 78 77",Có,phulongtamkyhotel@gmail.com,https://phulongtamkyhotel.com/,,
Khách sạn Sheraton Nha Trang,"26-28 Trần Phú, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",284,0258 3880 000,Có,reservations.nhatrang@sheraton.com,https://www.sheratonnhatrang.com.vn,7.000.000 - 31.000.000,0258 3882 222
Khách sạn Như Minh Plaza Đà Nẵng,"Lô 2, A2, KH, Phạm Văn Đồng, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng",90,0236 3555 666,Có,info@nhuminhplazahotel.com,www.nhuminhplazahotel.com,1.820.000 - 7.500.000,
Khách sạn bãi biển Sala Đà Nẵng,"36-38 Lâm Hoành, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",162,0236 3658 555,Có,info@saladn.com,https://saladanangbeach.com/,,
Khách sạn Danaciti,"80 Đông Kinh Nghĩa Thục, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng",82,"0236 3847 668/ 3847 768, 093 536 67 07",Có,danacitihotel@gmail.com,www.danacitihotel.com,,0236 3847 768/ 3847 668
Khách sạn DLG Đà Nẵng,"258 Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Thành phố Đà Nẵng",237,0236 3925 888,Có,info@dlghoteldanang.com,www.dlghoteldanang.com,,
Khách sạn nghỉ dưỡng Crowne Plaza Đà Nẵng,"Lô 8 Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",535,0236 3918 888,Có,admgr@cpdanang.com - sales@cpdanang.com,www.crowneplaza.com/danang,,0236 3951 889
Khách sạn nghỉ dưỡng Gold Coast,"Đường Võ Nguyên Giáp, Xã Bảo Ninh, Thành Phố Đồng Hới, Quảng Bình",153,0232 6256 666,Có,info@goldcoastquangbinh.com/ sales@goldcoastquangbinh.com,www.goldcoastquangbinh.com,2.300.000 - 13.700.000,
Khách sạn Marina,"Số 05 lô 20, QH Khu dân cư Du lịch Đông Hùng Thắng, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",140,0203 3968 888,Có,info@marinahotel.vn,https://marinahotel.vn/,,
Khách sạn Wyndham Legend Hạ Long,"12 đường Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",450,0203 3636 555,Có,info@wyndhamhalong.com,www.wyndhamhalong.com,,0203 3833 868
Khách sạn nghỉ dưỡng Wyndham Garden Hanoi,"HH01 Tố Hữu, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",112,024 3633 3355,Có,reservations@wyndhamgardenhanoi.com,https://wyndhamgardenhanoi.com/,,
Khách sạn La Casa Hà Nội,"17 Phạm Đình Hổ, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội",88,024 3333 5656,Có,info@lacasahotel.vn,www.lacasahotel.com.vn,2.100.000 - 3.300.000,024 6653 0530
