Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,Fax
Hạ Long Pearl farm,"Vụng Tùng Sâu, đảo Bồ Hòn, vịnh Hạ  Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",0203 3511 519,,,
Hạ Long Pearl farm II,"Vụng Vông Viêng, vịnh Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",0203 3511 519,,,
Legend Pearl,"Số nhà 238, Tổ 3, khu Cầu Trắng, Phường Đại Yên, Thành phố Hạ Long, Quảng Ninh",0203 3696 188,,,
Trung tâm Mỹ Ngọc,"Số 7 Khu Đồn Điền, Phường Hà Khẩu, Thành phố Hạ Long, Quảng Ninh",0203 3511 519,,,
Trung tâm thương mại Vincom Plaza Hạ  Long,"Đường Trần Quốc Nghiễn, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",0203 6281 818,,,
Việt Thành,"Ô 8, Lô H, Khu hỗn hợp bán đảo 2,  khu đô thị dịch vụ Hùng Thắng, Phường Hùng Thắng, Thành phố Hạ Long, Quảng Ninh",0908 365 616,,,
Trung tâm Thương mại Vincom Plaza  Móng Cái,"Đường Đại lộ Hòa Bình, Phường Trần Phú, Thành phố Móng Cái, Quảng Ninh",0385 111 666,,,
Việt Hưng,"Số 5, Đại lộ Hòa Bình, Phường Trần Phú, Thành phố Móng Cái, Quảng Ninh",0904 487 085,,,
Hải Dương Xanh,"Số 31, Đại lộ Hoà Bình, Phường Trần Phú, Thành phố Móng Cái, Quảng Ninh",0913 393 343,,,
Việt Nhã,"Số 13 Đại lộ Hoà Bình, Phường Trần Phú, Thành phố Móng Cái, Quảng Ninh",0395 538 332,,,
Trung tâm Thương mại Vincom + Uông Bí,"Khu đô thị Yên Thanh, Phường Yên Thanh, Thành phố Uông Bí, Quảng Ninh",0987 453 596,,,
Trung tâm Thương mại Vincom Plaza Cẩm  Phả,"Tổ 4, Khu Diêm Thủy, Phường Cẩm Bình, Thành phố Cẩm Phả, Quảng Ninh",0904 140 290,,,
Sao Việt,"Số 1, Đại lộ Hoà Bình, Phường Trần Phú, Thành phố Móng Cái, Quảng Ninh",0913393343,,,
Siêu thị Coopmart Hải Phòng,"01 Lê Hồng Phong, Phường Lạc Viên, Quận Ngô Quyền, Thành phố Hải Phòng",0225 3833 579,hpmarketing@coopmart.vn,http://www.co-opmart.com.vn/,
Nem Lái Thiêu,"số 80, Đt 745, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",0274 3754 131,,,
Made4Home Center Garden,"Đường 22 tháng 12, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",0274 0866 720 767,m4h.service02@gmail.com,made4home.com.vn,
Trung tâm mua sắm Nguyễn Kim,"253 đường Phạm Văn Thuận, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",0251 1800 6800,,,
Nhà Sách Siêu Thị Giá Sỉ,"296/4 Ấp Dốc Mơ 3, Xã Gia Tân 1, Huyện Thống Nhất, Đồng Nai",0251 0988 220 341,,,
MM Mega Market Biên Hòa,"Nguyễn Ái Quốc, Phường Quang Vinh, Thành phố Biên Hòa, Đồng Nai",0251 0251 8820 419,,,
Chợ An Bình,"ĐT 923, Phường An Bình, Quận Ninh Kiều, Thành phố Cần Thơ",,,,
Chợ Tân An,"71 Hai Bà Trưng, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ",,,,
Chợ An Lạc,"12 – 22 Điện Biên Phủ, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ",,,,
Chợ Đầm,"đường Phan Bội Châu, Phường Xương Huân, Thành phố Nha Trang, Khánh Hòa",0258  0258 3812 388,,,
Chợ Xóm Mới,"49 Ngô Gia Tự, Phường Phước Tiến, Thành phố Nha Trang, Khánh Hòa",0258  0258 3515 364,,,
Siêu thị Co.op Mart Nha Trang,"Số 2 Lê Hồng Phong, Phường Phước Tân, Thành phố Nha Trang, Khánh Hòa",0258  (0258) 3 875 777,cmnhatrang-mkt@coopmart.vn,http://www.co-opmart.com.vn/,
Công ty Âu Việt - Đặc sản Nha Trang,"89 Quảng Đức, Phường Vĩnh Hải, Thành phố Nha Trang, Khánh Hòa",0258 094 260 06 80,,,
Siêu thị hải đặc sản Hiền Nhi,"1 đường Hoàng Hoa Thám, Phường Xương Huân, Thành phố Nha Trang, Khánh Hòa",0258  0258 3813 878,,,
Công ty TNHH MTV Thương mại Dịch vụ Diệp Bảo An,"Khu phố 2, 62 đường Chiến Thắng, Phường Phú Lâm, Thành phố Tuy Hoà, Phú Yên",0257 0966522299/0905588644,anbaodiep@gmail.com,www.bomotnangphuyen.com / www.bomotnangdiepan.com,
Công ty TNHH sản xuất chế biên & thương mại Hà Trung,"57B Nguyễn Chí Thanh, Thị trấn Củng Sơn, Huyện Sơn Hòa, Phú Yên",0257 3861305/0914254334 /0936570570,bomotnanghatrung.dspy@gmail.com,http://bomotnanghatrung.com/,
DNTN Thủy sản Hùng Phong,"121 Lê Duẩn, Phường 7, Thành phố Tuy Hoà, Phú Yên",0257 0987 779 900 /033 929 777,lequanghungphong@gmail.com,https://thuysanhungphong.com/,
Siêu Thị New Life,"Khu Nam Trần Phú, Phường Ba Đình, Thành phố Thanh Hóa, Thanh Hóa",0237 0912 518 101,,,
Chợ Hón Hải Tiến,"Bãi biển Hải Tiến, Xã Hoằng Hải, Huyện Hoằng Hóa, Thanh Hóa",0237 090 909 81 63,,,
Chợ phiên Phố Đoàn,", Xã Lũng Niêm, Huyện Bá Thước, Thanh Hóa",,,,
Siêu thị Coop Mart Cần Giuộc,"Khu phố Thanh Ba, Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An",0272 3900 910,,,
Siêu thị Coop Mart Bến Lức,"61 Quốc lộ 1 A, KP 4, Thị trấn Bến Lức, Huyện Bến Lức, Long An",0272 3630 998,,,
Cửa hàng đặc sản Long An,"6 Nguyễn Văn Siêu, KP 3, Thị trấn Bến Lức, Huyện Bến Lức, Long An",0272 094 463 39 33,,,
Cơ sở sản xuất bánh tráng trộn Cô Út Long An,"772 Quốc lộ 1A, Phường Khánh Hậu, Thành phố Tân An, Long An",0272 089 669 97 76,banhtrangtronlongan772@gmail.com,www.banhtrangtronlongan.com,
Siêu thị Đặc Sản Nghệ Tĩnh,"Tầng 1, chung cư Tân Phát - đường Lê Mao kéo dài, Phường Vinh Tân, Thành phố Vinh, Nghệ An",0238 0826 665 666,congtydacsannghetinh@gmail.com,http://dacsannghetinh.com.vn/,
Cửa hàng Đặc Sản Xứ Nghệ Thúy Liễu,"160 Thăng Long, Xã Nghi Kim, Thành phố Vinh, Nghệ An",0238  0916 563 526,,https://sites.google.com/site/cuahangdacsanngonnhatnghean/home/gioi-thieu-dhac-san-xu-nghe_thuy-lieu-1,
Chợ Bến Thủy,"Nguyễn Văn Trỗi, Phường Bến Thủy, Thành phố Vinh, Nghệ An",0238 091 651 57 17,,,
Cửa hàng HATIMARRT,"75 Nguyễn Chí Thanh, Phường Tân Giang, Thành phố Hà Tĩnh, Hà Tĩnh",,,,
Chợ mới thị xã Hồng Lĩnh,", Phường Bắc Hồng, Thị xã Hồng Lĩnh, Hà Tĩnh",0239 0943 062 994,,,
Cơ sở sản xuất kẹo Cu Đơ Phong Nga,"Bàu Láng, Xã Thạch Đài, Huyện Thạch Hà, Hà Tĩnh",0239 0393 845 709 /0983 954 769/ 0947 554 769,cudophongnga@gmail.com,http://cudophongnga.com/,
Chợ Sa Nam,", Thị trấn Nam Đàn, Huyện Nam Đàn, Nghệ An",0238  0326 687 997,,,
Khoai deo Hải Ninh,"Tiểu khu 5, Thị trấn Quán Hàu, Huyện Quảng Ninh, Quảng Bình",0232 09794 534 161,khoaideohaininhqb@gmail.com,http://khoaideohaininh.vn/,
Siêu thị Thế Anh,"230 Lý Thường Kiệt, Phường Hải Thành, Thành Phố Đồng Hới, Quảng Bình",0232 0232 3823 717,,,
Công ty TNHH Biển Hạnh Phúc,"06 Quách Xuân Kỳ, Phường Đồng Hải, Thành Phố Đồng Hới, Quảng Bình",0232 037 617 7373,noahsark677@gmail.com,https://bienhanhphuc.com/,
Chợ Ba Đồn - Chợ trung tâm phía Bắc,"Thị trấn Ba Đồn, Xã Quảng Hợp, Huyện Quảng Trạch, Quảng Bình",,,,
Cửa hàng Đặc sản Quảng Trị,"Quốc lộ 1A, Lai Phước, Phường Đông Lương, Thành phố Đông Hà, Quảng Trị",0909 215 234,,https://dacsanquangtri.net/,
Chợ Diên Sanh,"Làng Diên Sanh, Thị trấn Diên Sanh, Huyện Hải Lăng, Quảng Trị",,,,
Chợ Khe Sanh,"Khóm 3A, Thị trấn Khe Sanh, Huyện Hướng Hóa, Quảng Trị",,,,
Trúc Chỉ Garden,"05 đường Thạch Hãn, Phường Thuận Hòa, Thành phố Huế, Thừa Thiên Huế",0234 0962 901 518,trucchiart@gmail.com,http://www.vietnamtrucchiart.com/,
Marie's - Cỏ Bàng Xứ Huế,"16 Đoàn Hữu Trưng, Phường Phước Vĩnh, Thành phố Huế, Thừa Thiên Huế",0234 0935 115215/0935 212 512,madebymaries@gmail.com,https://madebymaries.com/,
Trà Đình Viên,"16/65 Hoàng Quốc Việt, Phường An Đông, Thành phố Huế, Thừa Thiên Huế",0234 0777 151 719,,https://tradinhvien.com/,
Chợ An Cựu,"Đường Hùng Vương, Phường Phú Nhuận, Thành phố Huế, Thừa Thiên Huế",0234  0378 655 312,,,
Danang Souvenirs & Cafe,"34 Bạch Đằng, Phường Hải Châu  I, Quận Hải Châu, Thành phố Đà Nẵng",0236 0918 245 579,,,
Siêu Thị Joly Mart Đà Nẵng,"31 Yên Bái, Phường Hải Châu  I, Quận Hải Châu, Thành phố Đà Nẵng",0236  0236 6268 968,,https://jolymart-dn.business.site/,
Siêu thị Danavi Mart,"46 Phan Đình Phùng, Phường Hải Châu  I, Quận Hải Châu, Thành phố Đà Nẵng",0236 0236 3525 111/0236 3878 555/0935 636 919,danavimart46@gmail.com,https://www.sieuthidanavimart.com/,
Siêu thị Big C Huế,"174 Bà Triệu, Phường Phú Nhuận, Thành phố Huế, Thừa Thiên Huế",0234 0234 3936 888,,,
Vườn sim Bảy Gáo,"Tổ 3, ấp Suối Mây, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang",0297 3847 347,cssxruoisimbaygao@gmail.com,,
Ngọc trai Robinson Phú Quốc,"16 Lý Tự Trọng, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",0297 088 697 88 89,,,
The Storytree Vietnam,"2 Lê Lợi, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",0297 076 427 76 60,,,
Lotus Jewellery,"82 Trần Phú, Phường Minh An, Thành phố Hội An, Quảng Nam",0235 0235 3917 889,info@lotusjewellery-hoian.com,http://lotusjewellery-hoian.com/our_shop_in_hoi_an.html,
