Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,Fax
Nhà hàng Bamboo Sông Chanh,"Khu Bắc Cầu Sông Chanh, Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",0203 8955 5999,,,
Nhà hàng Hải sản Bà Niềm,"Shophouse Vincom Plaza Móng Cái, Phường Trần Phú, Thành phố Móng Cái, Quảng Ninh",0913 264 587,,,
Trung tâm Thương mại Vincom Plaza  Móng Cái,"Đường Đại lộ Hòa Bình, Phường Trần Phú, Thành phố Móng Cái, Quảng Ninh",0385 111 666,,,
Trung tâm thương mại Vincom Plaza Hạ  Long,"Đường Trần Quốc Nghiễn, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",0203 6281 818,,,
Nhà hàng Happy,"39 Trần Bình Trọng, P. Phú Thọ, TP. Thủ Dầu Một, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",093 346 23 71,,,
Nhà Hàng 18E,"58 Đại Lộ Bình Dương, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",0274 090 897 26 55,nhahang18e@gmail.com,www.nhahang18.com,
Vườn Ẩm Thực Đông Hồ,"225 Đại Lộ Bình Dương, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",0274 084 222 62 26,,www.amthucdongho.com,
Nhà hàng Victory,"Đường 23 Tháng 3, Phường Nghĩa Trung, Thị xã Gia Nghĩa, Đắk Nông",,,,
Nhà hàng Sơn Mã,"34 Quang Trung, Phường Nghĩa Trung, Thị xã Gia Nghĩa, Đắk Nông",0261 091 344 4770,,,
Nhà hàng Phương Thủy,"Đường vành đai Hồ Tây, Thị trấn Đắk Mil, Huyện Đắk Mil, Đắk Nông",0261 090 596 1848,,,
Nhà hàng Ngọc Thảo,"Thôn 3, Xã Kiến Thành, Thị trấn Kiến Đức, Huyện Đắk R'Lấp, Đắk Nông",0261 091 409 8551,,,
Nhà hàng K'Jang,"Bon Păng So, Xã Đắk Som, Huyện Đăk Glong, Đắk Nông",0261 093 268 9968,,,
Nhà hàng Hướng Liễu,"Tổ dân phố 1, Phường Nghĩa Trung, Thị xã Gia Nghĩa, Đắk Nông",0261 090 458 3207,nhahanghuonglieusunflower@gmail.com,http://nhahanghuonglieusunflower.com/,
Trung Khàn Quán,"08 Điện Biên Phủ, Thị trấn Ea Drăng, Huyện Ea H'leo, Đắk Lắk",0262 097 748 8049,,,
Mỹ Nhung Quán,"86 Nguyễn Trãi, Phường An Bình, Thị Xã Buôn Hồ, Đắk Lắk",,,,
Điền Trang Hoa Mai 3,"339 Nguyền Đình Chiểu, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 096 195 9339,,,
Nhà hàng Biệt Điện,"01 Ngô Quyền, Phường Thắng Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",0262 395 4299,,,
Ẩm thực hồ câu Khánh Hà,", Xã Ea Wer, Huyện Buôn Đôn, Đắk Lắk",0262 0913 199 932,,,
Nhà hàng Galaxy,"311 Trần Văn Hai, Phường Trường Chinh, Thành phố Kon Tum, Kon Tum",0260 248 9779,,,
Nhà hàng Cô Ba,"173 Kapakolong, Phường Thống Nhất, Thành phố Kon Tum, Kon Tum",0260 036 923 1983,,,
BBQ Su Bông,"15 Phan Bội Châu, Thị trấn Plei Kần, Huyện Ngọc Hồi, Kon Tum",0260 097 922 1821,,,
Ẩm thực Nướng,"426 Nguyễn Huệ, Phường Thống Nhất, Thành phố Kon Tum, Kon Tum",0260 036 646 1197,,,
Ẩm thực Á Đông,"61A Trần Cao Vân, Phường Thống Nhất, Thành phố Kon Tum, Kon Tum",0260 385 8179,,,
Nhà hàng Tây Nguyên,"515 Phú Riềng Đỗ, Phường Tân Xuân, Thị xã Đồng Xoài, Bình Phước",0271 3870 459,,,
Nhà Hàng Sao Biển,"16 Ấp Bà Điều, Xã Lý Văn Lâm, Thành phố Cà Mau, Cà Mau",0290 0912 967 481,,,
Nhà hàng Nhị Đệ,"Quản Lộ - Phụng Hiệp, Phường Tân Thành, Thành phố Cà Mau, Cà Mau",0290 0919 345 939,,,
Nhà Hàng Hoàng Kim,"126A Phan Ngọc Hiển, Phường 9, Thành phố Cà Mau, Cà Mau",0290 0917 404 113,,,
Nhà hàng Tân Tân,"153A Nguyễn Đình Chiểu, Phường 8, Thành phố Cà Mau, Cà Mau",0290 3820 404,,,
Nhà hàng Vân Thủy,"Đảo Uyên Ương, 3b 1 Tháng 5, Phường 5, Thành phố Cà Mau, Cà Mau",0290 3830 969,,,
Nhà hàng Cua 1 Càng,"75 đường Võ Văn Tần, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",0271 0975 538 939,,,
Nhà hàng TomBay,"379 Lê Quý Đôn, Phường Tân Xuân, Thị xã Đồng Xoài, Bình Phước",0271 3737 379,,,
Nhà hàng hải sản Hương Biển,"869-871 Phú Riềng Đỗ, Phường Tân Bình, Thị xã Đồng Xoài, Bình Phước",0271 3885 526,,,
Nhà hàng Hoàng Anh,"Đường Nguyễn Huệ, Phường Tân Đồng, Thị xã Đồng Xoài, Bình Phước",0271 0989 140 500,,,
Nhà hàng Sen Việt,"138 Lê Duẩn, Phường Phù Đổng, Thành phố Pleiku, Gia Lai",0269 222 1032,,,
Nhà hàng Sê San Xanh,"57 Lê Quý Đôn, Phường Diên Hồng, Thành phố Pleiku, Gia Lai",0269 387 7878,,,
Phở Hồng - Phở khô Gia Lai,"24 Nguyễn Văn Trỗi, Phường Hội Thương, Thành phố Pleiku, Gia Lai",0269 090 542 3939,,,
