Tên cơ sở,Địa chỉ,Điện thoại,Email,Website,
Sân Golf Chí Linh,"445 Nguyễn Thái Học – KDC Thái Học 3 , Phường Sao Đỏ, Thị xã Chí Linh, Hải Dương",0220 02206 599 699,booking@chilinhgolf.com,https://chilinhgolf.com/ve-chilinh-golf,Website: https://chilinhgolf.com/ve-chilinh-golf
Sân tập Tennis Hà Hải,"180 Hồng Châu, Đường Bùi Thị Xuân, Phường Lê Thanh Nghị, Thành phố Hải Dương, Hải Dương",0912 831 557,,,
Nhà Thi đấu thể dục thể thao Hải Dương,"1 Bùi Thị Xuân, Phường Lê Thanh Nghị, Thành phố Hải Dương, Hải Dương",0220 03203 850 209,,http://nhathidauhaiduong.com.vn,Website: http://nhathidauhaiduong.com.vn
Sân Mipec Golf Club,"9 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội",0866 190 068,mipecgolfclub@gmail.com,http://www.mipec.com.vn/linh-vuc-kinh-doanh/thuong-mai-dich-vu/mipec-golf-club-20,Website: http://www.mipec.com.vn/linh-vuc-kinh-doanh/thuong-mai-dich-vu/mipec-golf-club-20
Sân Golf Legend Hill,"Thôn Cộng Hòa, Xã Phù Linh, Huyện Sóc Sơn, Thành phố Hà Nội",024  024 6262 9258,booking@brglegendhillgolf.vn,http://brglegendhillgolf.vn,Website: http://brglegendhillgolf.vn
Sân Golf Đồng Mô Hà Nội,"Đường Đồng Mô, Xã Sơn Đông, Thị xã Sơn Tây, Thành phố Hà Nội",024 024 3368 6555,booking@brgkingsislandgolf.vn,brgkingsislandgolf.vn,Website: brgkingsislandgolf.vn
Sân Golf Vân Trì,"Kim Nỗ, Xã Kim Nỗ, Huyện Đông Anh, Thành phố Hà Nội",024 024 3958 3080,contact@vantrigolf.com,,
Sân Golf Long Biên,"Khu trung đoàn 918, Phường Phúc Đồng, Quận Long Biên, Thành phố Hà Nội",094 666 00 99,sales@longbiengolf.vn,https://www.longbiengolf.vn,Website: https://www.longbiengolf.vn
Sân Golf Hà Nội Ciputra,"Ciputra Hanoi International City , Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Thành phố Hà Nội",0963 958 066,Lienhe@alphahousing.vn,https://ciputrahanoi.info/en/ciputra-hanoi-international-golf-club/,Website: https://ciputrahanoi.info/en/ciputra-hanoi-international-golf-club/
Sân Golf BRG,"200 Yên Phụ, Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội",0834 111 368,sales@brggolfcenter.vn,brggolfcenter.vn,Website: brggolfcenter.vn
Sân vận động Hàng Đẫy,"9 Trịnh Hoài Đức, Phường Cát Linh, Quận Đống Đa, Thành phố Hà Nội",024 024 3734 4922,,https://myhanoi.vn/vi/sanhangday,Website: https://myhanoi.vn/vi/sanhangday
Sân Tennis TCKT Bộ Công An,"280 Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội",024 024 6974 7753,,,
Sân tập Golf FLC,"Khu Liên hợp thể thao Golfnet, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Thành phố Hà Nội",,,,
