Tên cơ sở,Địa chỉ,Điện thoại,Website,Email,Website
Nhà xe Hoàng Dung,"281 Nguyễn Thông, Bến Tre",,,,
Xe Vip Limosine Vũng Tàu Sài Gòn,", Phường 1, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 033 685 88 58,xeviplimosinevungtausaigon.com,,Website: xeviplimosinevungtausaigon.com
Cho thuê xe ô tô Vũng Tàu Nguyên Anh,"295 Nguyễn Hữu Cảnh, Phường Thắng Nhất, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 093 753 63 43,,,
Công ty TNHH dịch vụ 247,"số 8 đường Nguyễn Thị Minh Khai, Phường 8, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",0254 096 900 91 01,247vungtau.vn,247vungtau.vn@gmail.com,Website: 247vungtau.vn
TAXI GIÁ RẺ,"Bình Chuẩn, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",0274 097 822 46 78,tongdaitaxigiare2406.com,tongdaitaxigiare2406@gmail.com,Website: tongdaitaxigiare2406.com
Thuê xe máy Quỳnh Như,"Hẻm 172 Trần Văn Ơn, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",093 922 51 60,,,
Thuê xe Bình Dương,"A216K, KDC Lâu Đài Vàng, Kp Bình Đứ, Phường Bình Nhâm, Thành phố Thuận An, Bình Dương",093 870 72 00,thuexebinhduong.net,mai.nguyen@indochinaauto.net,Website: thuexebinhduong.net
Công Ty TNHH HAMY TRAVEL,"122/6 Đường Bình Chuẩn, 20 Bình Chuẩn, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",,thuexeditinh.vn,contact@hamytravel.com,Website: thuexeditinh.vn
Công ty TNHH MTV thương mại dịch vụ vận tải Lâm Phát,"264/35/21A Nguyễn Thị Minh Khai, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương","0274 096 162 33 38, 091 830 74 88",xedulichbinhduong.com,vantailamphat79@gmail.com,
Công ty TNHH MTV Tuấn Việt Nhất,"số 24n/6, kp. Bình Đáng 2, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",0274 098 819 06 78,chuyenchothuexe.com,chuyenchothuexevn@gmail.com,Website: chuyenchothuexe.com
Taxi Gia Đình Miền Nam,", Phường Bình Hòa, Thành phố Thuận An, Bình Dương",0274 094 905 09 83,taxigiadinhmiennam.com,,Website: taxigiadinhmiennam.com
CÔNG TY TNHH DU LỊCH TRÚC VY,"Số 50, Đường ĐX001, Khu 4, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",0274 091 711 22 33,vantaibinhduong.vn,,Website: vantaibinhduong.vn
Thuê xe Quốc Linh,"21F An Thạnh A, Xã Mỹ Thạnh An, Thành phố Bến Tre, Bến Tre","0275 093 337 20 00, 094 242 68 92",,,
Khách sạn Hoài Phú,"Số 616B2, Tổ 1A, Khu phố 6, Phường Phú Khương, Thành phố Bến Tre, Bến Tre",0275 0275 383 89 88,,,
Taxi Bến Tre,"39 đường Nguyễn Thị Định, xã Phú Hưng, Phường Phú Khương, Thành phố Bến Tre, Bến Tre",0275 088 800 06 50,Taxigiarebentre.com,thandieu312@gmail.com,Website: Taxigiarebentre.com
CÔNG TY ĐẠI ĐỒNG ĐEN,"Số 14A, lô 1, KP. 1A, Phường An Phú, Thành phố Thuận An, Bình Dương",0274 093 760 31 34,www.xebinhduong.com,daidongden@yahoo.com,Website: www.xebinhduong.com
XE DỊCH VỤ BÌNH DƯƠNG,"11/DC 71/69 Tổ 2, KP Hòa Lân, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","0274  096 710 00 64, 098 393 86 25",,,
Taxi An Giang,"26 Lý Thái Tổ, Phường Mỹ Xuyên, Thành phố Long Xuyên, An Giang",0296 090 747 72 21,taxiangiang67.com,taxiangiang67giare@gmail.com,Website: taxiangiang67.com
Cửa hàng Lê Thị Tuyết Vân,"Tổ 60, Ấp Phước Thạnh, Thị trấn An Phú, Huyện An Phú, An Giang",0296 02963 510 458,,,
Công Ty Du Lịch Ánh Bình Minh,"223/2, Đường An Phú 17, Khu Phố 1B, Phường An Phú, Thành phố Thuận An, Bình Dương",096 715 16 89,dulichanhbinhminh.com,anhbinhminhbd@gmail.com,Website: dulichanhbinhminh.com
Thuê Xe Du Lịch Vũ Xinh,"2B5 Nguyễn Tri Phương, Phường Bình Khánh, Thành phố Long Xuyên, An Giang",0296 094 906 36 36,,,
Thuê xe du lịch Huỳnh Lý,"Ấp 2, Xã Thuận Điền, Huyện Giồng Trôm, Bến Tre",094 436 46 55,,,
Công Ty Huỳnh Hoa Ngân,"49E1 Đường số 1, Khu Phố Mỹ Tân, Phường 7, Thành phố Bến Tre, Bến Tre",093 939 38 97,,,
