Tên cơ sở,Địa chỉ,Điện thoại,Fax,Email,Website
Di tích lịch sử - văn hóa căn cứ địa cách mạng Hải Chi (Đình Làng Dạ),"xã Thanh Lâm, Xã Thanh Lâm, Huyện Ba Chẽ, Quảng Ninh",,,,
Chợ Trung tâm Ba Chẽ,"Thị trấn Ba Chẽ, Thị trấn Ba Chẽ, Huyện Ba Chẽ, Quảng Ninh",,,,
Di tích lịch sử Miếu Ông – Miếu Bà,"xã Nam Sơn, Xã Nam Sơn, Huyện Ba Chẽ, Quảng Ninh",,,,
Phố đi bộ Tiên Yên,"Thị trấn Tiên Yên, Thị trấn Tiên Yên, Huyện Tiên Yên, Quảng Ninh",,,,
"Trung tâm Văn hóa, Thể thao các dân tộc vùng Đông Bắc","xã Yên Than, huyện Tiên Yên, Xã Yên Than, Huyện Tiên Yên, Quảng Ninh",,,,
Đền thờ Đức ông Hoàng Cần (Miếu Đại Vương),"xã Hải Lạng, Xã Hải Lạng, Huyện Tiên Yên, Quảng Ninh",,,,
Chợ Tiên Yên,"Thị trấn Tiên Yên, Thị trấn Tiên Yên, Huyện Tiên Yên, Quảng Ninh",,,,
Thác Pạc Sủi,"xã Yên Than, huyện Tiên Yên, Xã Yên Than, Huyện Tiên Yên, Quảng Ninh",,,,
Cột mốc 1317(2) và cửa khẩu Hoành Mô,"xã Hoành Mô, Xã Hoành Mô, Huyện Bình Liêu, Quảng Ninh",,,,
Chợ Đồng Văn,"xẫ Đồng Văn, Xã Đồng Văn, Huyện Bình Liêu, Quảng Ninh",,,,
Chợ Trung tâm huyện Bình Liêu,"thị trấn Bình Liêu, Thị trấn Bình Liêu, Huyện Bình Liêu, Quảng Ninh",,,,
Đình Lục Nà,"xẫ Lục Hồn, Xã Lục Hồn, Huyện Bình Liêu, Quảng Ninh",,,,
Thác Sông Moóc,"xã Đồng Văn,, Xã Đồng Văn, Huyện Bình Liêu, Quảng Ninh",,,,
Thác Khe Tiền,"xã Đồng Văn,, Xã Đồng Văn, Huyện Bình Liêu, Quảng Ninh",,,,
Thác Khe Vằn,"xã Húc Động, huyện Bình Liêu., Xã Húc Động, Huyện Bình Liêu, Quảng Ninh",,,,
Bãi tắm Lương Ngọc,"Khu 1A, Phường Quang Hanh, thành phố Cẩm Phả, Phường Quang Hanh, Thành phố Cẩm Phả, Quảng Ninh",,,,
